Time Series artificial accelerogram: 1
 
Time Step: 0.01000 s
 
     Time(sec)	        Acc(g)	                              
       8.43000	      -0.07379	                              
       8.44000	      -0.06633	                              
       8.45000	      -0.05726	                              
       8.46000	      -0.04908	                              
       8.47000	      -0.04404	                              
       8.48000	      -0.04244	                              
       8.49000	      -0.04337	                              
       8.50000	      -0.04532	                              
       8.51000	      -0.04740	                              
       8.52000	      -0.04927	                              
       8.53000	      -0.05121	                              
       8.54000	      -0.05355	                              
       8.55000	      -0.05654	                              
       8.56000	      -0.06001	                              
       8.57000	      -0.06361	                              
       8.58000	      -0.06712	                              
       8.59000	      -0.07083	                              
       8.60000	      -0.07532	                              
       8.61000	      -0.08108	                              
       8.62000	      -0.08791	                              
       8.63000	      -0.09487	                              
       8.64000	      -0.10070	                              
       8.65000	      -0.10450	                              
       8.66000	      -0.10607	                              
       8.67000	      -0.10582	                              
       8.68000	      -0.10437	                              
       8.69000	      -0.10235	                              
       8.70000	      -0.10025	                              
       8.71000	      -0.09860	                              
       8.72000	      -0.09764	                              
       8.73000	      -0.09762	                              
       8.74000	      -0.09861	                              
       8.75000	      -0.10093	                              
       8.76000	      -0.10439	                              
